Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,LR
1,0.631080,0.783101,0.577607,0.824940,0.00100000
2,0.379163,0.876868,0.520151,0.834532,0.00100000
3,0.262270,0.913962,0.621889,0.820144,0.00100000
4,0.222971,0.922205,0.719167,0.805755,0.00100000
5,0.196990,0.931479,0.578583,0.844125,0.00100000
6,0.123737,0.958784,0.437229,0.868106,0.00100000
7,0.115934,0.962391,0.551821,0.836930,0.00100000
8,0.156714,0.943328,0.532842,0.853717,0.00100000
9,0.080168,0.974755,0.502421,0.863309,0.00100000
10,0.076562,0.973210,0.627281,0.844125,0.00100000
11,0.092888,0.968058,0.735837,0.822542,0.00100000
12,0.100082,0.968058,0.842983,0.791367,0.00050000
13,0.064084,0.980422,0.435373,0.884892,0.00050000
14,0.017685,0.996909,0.420536,0.884892,0.00050000
15,0.008213,0.997424,0.395041,0.889688,0.00050000
16,0.005792,0.999485,0.429311,0.880096,0.00050000
17,0.005091,0.998970,0.422577,0.904077,0.00050000
18,0.002389,0.999485,0.422130,0.904077,0.00050000
19,0.004336,0.997424,0.401446,0.899281,0.00050000
20,0.008235,0.997424,0.438466,0.896882,0.00050000
21,0.008275,0.996909,0.450457,0.887290,0.00025000
22,0.003250,0.999485,0.474220,0.892086,0.00025000
23,0.001526,1.000000,0.465210,0.896882,0.00025000
24,0.001938,0.999485,0.458831,0.901679,0.00025000
25,0.001230,0.999485,0.449494,0.911271,0.00025000
26,0.003997,0.997939,0.479576,0.906475,0.00025000
27,0.006503,0.998970,0.514294,0.889688,0.00012500
28,0.004104,0.999485,0.491981,0.906475,0.00012500
29,0.000929,1.000000,0.467692,0.896882,0.00012500
30,0.001414,1.000000,0.488491,0.904077,0.00012500
